,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.8663374808053207,98.54479493473907,6.12450679674535,0.7083251635645271,381.49613538548607,13.173483900780877
1,0.7995718423071702,181.24911560450465,8.544391564700177,0.8447750639710809,150.3893800852336,8.514246694125141
2,0.8363234934782431,151.41699540221697,7.793568083875792,0.7956663197190791,197.60317905697386,8.236017256884418
3,0.8331689218401922,155.60513650302636,7.396149291592226,0.8075881131695024,184.66654484633654,9.416590937788836
4,0.8395183799750826,138.35070334544676,7.5467374812269865,0.8055711113792936,206.7409547060167,8.547029109861224
5,0.8361596261244981,132.6678328816644,6.949507383291168,0.7501276929857408,303.89571967770945,10.214091698899004
6,0.8590983550994732,115.63426128905763,6.615389857550858,0.7426714494395159,309.6846991491234,11.478744847304702
7,0.8427197029504253,150.43828372894274,7.477492444358271,0.7592047202518217,218.2828321653723,9.537657345705636
8,0.8408127333856351,140.10338688627547,6.99518637743228,0.7640989483521188,233.12587102214604,9.786363136598453
9,0.7951441468847569,207.6097686490187,9.754556280867066,0.8838602386623489,81.83876506739325,7.2082327880462245
mean,0.8348854682850797,147.16202792248927,7.519748556164016,0.7861888821495029,226.77240811617907,9.611245771599451
