,r2_train,MSE_train,MAE_train,r2_test,MSE_test,MAE_test,cv_score
0,0.9984013104521082,1.1786590183284353,0.8453185606650818,0.7742550103527324,295.2631848038139,11.075886762800884,0.5941736092300538
1,0.9982883453774274,1.547865779603197,0.9738651206314929,0.828932048597568,165.73885499343746,9.1930935659537,0.77298894955616
2,0.9987577807819551,1.1491759301586528,0.781987305625509,0.8617488635125716,133.69731333863842,7.8513347918599035,0.7094422557031629
3,0.9990011052226242,0.9316798758372405,0.760319415722066,0.8367286601334667,156.69902053476295,8.83694241892252,0.6601051291300226
4,0.9991111975294111,0.7662338336442815,0.6585301593301517,0.8106132586174983,201.3795172098208,9.346980359152823,0.8151363458285245
5,0.9973966671295981,2.1080184451255417,1.0696572259278931,0.9101878262015429,109.22993235398467,5.883333321754532,0.5381717250559087
6,0.9988936909850669,0.9079186108120589,0.7030592735466067,0.8447087603771057,186.88684453537456,8.72443921991822,0.674512572302562
7,0.9987976414693416,1.1500534852251052,0.8347420010293323,0.7300508351892948,244.71106035459317,9.348561311723058,0.8075495420271747
8,0.988179543324428,10.403382443911374,2.2440918247808743,0.7674087936440563,229.854963320627,10.651401848802603,0.6626505205941441
9,0.9998910642989891,0.11040014400647956,0.19900823714387067,0.8589721454446267,99.37634901247272,7.568569982764812,0.6272890837966292
mean,0.997671834657095,2.0253387566652368,0.9070579124402878,0.8223606202070464,182.28370404575256,8.848054358365307,0.6862019733224343
