,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.7983596371297308,148.66252955082743,7.968085106382977,0.5616277396559676,573.3690476190476,18.119047619047617,0.7527900886464024
1,0.7794794242648752,199.41888297872342,9.686170212765957,0.47233298889206177,511.2291666666667,17.13095238095238,0.7096420660048605
2,0.7491668749105584,232.0455082742317,9.556737588652483,0.6745690632176091,314.7116402116402,14.095238095238098,0.637988516687621
3,0.7146198151298098,266.1771602257925,10.401215805471127,0.7009645813869343,286.9980563654032,12.26530612244898,0.6169296751527987
4,0.7047193740246128,254.56050531914894,10.851063829787234,0.657514991704448,364.17261904761904,12.773809523809524,0.6527959348162862
5,0.7384317248947847,211.80186170212767,9.962765957446809,0.5341281560783524,566.5952380952381,17.023809523809526,0.690483808813145
6,0.764786593870675,193.03343465045594,9.367781155015198,0.6576813109374167,411.96695821185614,13.455782312925171,0.6727476877239644
7,0.740183787675297,248.51367781155014,10.21580547112462,0.6622736644999445,306.1516034985422,13.292517006802722,0.6995180299097676
8,0.7541798995513784,216.35039893617022,9.563829787234043,0.5650814600102796,429.8020833333333,14.273809523809524,0.6583881133761176
9,0.7741468247586988,228.88936170212764,10.940425531914892,0.7210127625066773,196.5904761904762,10.895238095238096,0.6906393466916324
mean,0.751807395621042,219.94533211511552,9.851388044579533,0.6207186718889692,396.1586889239823,14.332551020408165,0.6781923267822597
