,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.892022685378513,79.60797380663018,5.746622966301753,0.6924926274416365,402.2043028024929,13.460459056178362
1,0.834781952290883,149.4082736372504,8.413447586845564,0.7778420192805326,215.2373314244016,11.68785479884506
2,0.8592174625023264,130.23780434954546,7.714011443949683,0.7813916880728715,211.40762181589616,9.248809117103571
3,0.8627079692765824,128.05375003949257,7.797655471910757,0.7789473687930665,212.15438560787342,9.963360876973379
4,0.8657866860849454,115.7048786994298,7.483376391286914,0.7592769692465878,255.9666392722779,9.879979445211436
5,0.8633459457235054,110.65402749344375,6.275777179203197,0.7296604628543326,328.788048503243,11.58246622599385
6,0.875395678821437,102.2594778299408,6.273409516257443,0.7283035679619396,326.97587435335964,12.112533353262988
7,0.8735711184486853,120.92896765291945,7.592554810488489,0.7343376987469434,240.824984516858,11.135577707583455
8,0.8815171798295436,104.27871994266981,6.599909527078353,0.6808769859301995,315.36879593602697,12.604694112513958
9,0.8387842194376951,163.3830344416975,9.226032393914307,0.8055318752626655,137.03344134835757,9.749835494296251
mean,0.8647130897794117,120.45169078930196,7.312279728723647,0.7468661263590775,264.59614255807867,11.14255701879623
